Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Samoa,WSM,Land area (sq. km),AG.LND.TOTL.K2,Unknown,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
Kosovo,XKX,Land area (sq. km),AG.LND.TOTL.K2,Unknown,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,Unknown
"Yemen, Rep.",YEM,Land area (sq. km),AG.LND.TOTL.K2,Unknown,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970
South Africa,ZAF,Land area (sq. km),AG.LND.TOTL.K2,Unknown,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090,1213090
Zambia,ZMB,Land area (sq. km),AG.LND.TOTL.K2,Unknown,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390,743390
Zimbabwe,ZWE,Land area (sq. km),AG.LND.TOTL.K2,Unknown,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850,386850
Aruba,ABW,"Population, total",SP.POP.TOTL,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386
Angola,AGO,"Population, total",SP.POP.TOTL,5454933,5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376
Andorra,AND,"Population, total",SP.POP.TOTL,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006
Arab World,ARB,"Population, total",SP.POP.TOTL,92197753,94724510,97334442,100034179,102832760,105736431,108758610,111899364,115136178,118437195,121785650,125164745,128598734,132161298,135952252,140040649,144453278,149161891,154111175,159218552,164420785,169698994,175061792,180505996,186035305,191650331,197338142,203084971,208889682,214753970,222653373,228731685,232956352,239243261,245449409,253107289,259000953,264822188,270575803,276393837,282344154,288432163,294665185,301113849,307862843,314965793,322452754,330290716,338395961,346629220,354890042,363158703,371443547,379705719,387907748,396028278,404024433,411898965,419790588
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,92418,100796,112118,125130,138039,149857,159976,169771,182627,203106,234514,277471,330974,394624,467451,548301,637922,735344,835508,931749,1019509,1096610,1164806,1228459,1293971,1366164,1446380,1533536,1627066,1725681,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959
Argentina,ARG,"Population, total",SP.POP.TOTL,20481779,20817266,21153052,21488912,21824425,22159650,22494035,22828869,23168267,23517611,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,1874121,1941492,2009526,2077578,2145001,2211319,2276034,2339127,2401143,2462928,2525068,2587708,2650486,2712786,2773748,2832759,2889579,2944383,2997417,3049109,3099754,3148096,3193689,3238595,3285599,3335940,3392264,3451947,3504659,3536474,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776
American Samoa,ASM,"Population, total",SP.POP.TOTL,20123,20602,21253,22034,22854,23672,24462,25248,25989,26703,27363,27984,28567,29100,29596,30052,30456,30838,31269,31845,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,54131,55001,55841,56702,57641,58698,59915,61241,62521,63550,64177,64357,64133,63650,63120,62675,62367,62159,62036,61952,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3895397,4030322,4171426,4315127,4456687,4592609,4721523,4843868,4960232,5071927,5180023,5284531,5385263,5483082,5579072,5674133,5768721,5863132,5957925,6053640,6150733,6249314,6349553,6452069,6557581,6666447,6778624,6893489,7010027,7126881,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334
Burundi,BDI,"Population, total",SP.POP.TOTL,2797932,2852438,2907321,2964427,3026290,3094379,3170490,3253218,3336927,3413904,3479074,3529997,3569666,3605126,3646431,3700880,3770871,3854445,3949266,4051234,4157298,4266520,4379724,4497533,4621103,4750837,4886743,5027138,5168698,5307069,5438957,5564926,5685565,5798053,5898967,5987043,6060111,6122130,6185562,6267124,6378871,6525545,6704113,6909154,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378
Belgium,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068
Benin,BEN,"Population, total",SP.POP.TOTL,2431622,2465867,2502896,2542859,2585965,2632356,2682159,2735307,2791590,2850661,2912340,2976572,3043567,3113675,3187412,3265165,3347173,3433439,3523938,3618526,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,4829288,4894580,4960326,5027821,5098890,5174870,5256363,5343019,5434041,5528174,5624600,5723381,5825173,5930483,6040041,6154545,6274037,6398935,6530819,6671656,6822843,6985160,7158255,7340905,7531242,7727907,7930694,8140073,8356305,8579823,8811034,9050084,9297113,9552476,9816588,10089878,10372745,10665546,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535
Bangladesh,BGD,"Population, total",SP.POP.TOTL,48013504,49362843,50752157,52202007,53741716,55385112,57157654,59034249,60918454,62679765,64232482,65531633,66625705,67637530,68742233,70066301,71652381,73463584,75450032,77529045,79639491,81767515,83932127,86142495,88416521,90764183,93187603,95671163,98186350,100695497,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216
Bahrain,BHR,"Population, total",SP.POP.TOTL,162427,167894,173144,178140,182887,187431,191780,196063,200653,206043,212605,220312,229155,239527,251911,266543,283752,303175,323473,342799,359888,374120,385950,396454,407225,419428,433480,448971,465198,481087,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,109534,115121,121091,127339,133709,140059,146382,152620,158648,164268,169377,173889,177866,181517,185120,188896,192909,197101,201478,205984,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,374206,377931,381761,385640
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3225668,3288603,3353226,3417574,3478997,3535643,3586636,3632672,3675454,3717468,3760529,3805287,3851153,3897256,3942225,3985105,4025266,4063193,4100349,4138819,4179855,4222471,4265185,4307905,4350577,4392131,4435917,4479519,4509461,4507824,4463423,4369319,4233676,4078937,3936524,3829050,3764425,3736070,3734337,3743354,3751176,3755512,3759387,3762173,3764194,3765331,3765424,3762786,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9485386
Belize,BLZ,"Population, total",SP.POP.TOTL,92064,94703,97384,100164,103069,106119,109347,112692,116061,119261,122182,124793,127150,129294,131307,133260,135147,136989,138965,141305,144155,147566,151500,155822,160347,164921,169568,174320,179028,183469,187552,191128,194324,197622,201680,206963,213664,221580,230244,238988,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071
Bermuda,BMU,"Population, total",SP.POP.TOTL,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,64555,63874,63968
Bolivia,BOL,"Population, total",SP.POP.TOTL,3656955,3728964,3802990,3879192,3957757,4038872,4122517,4208676,4297517,4389246,4484004,4581740,4682390,4785923,4892293,5001419,5113456,5228252,5344939,5462419,5579935,5697096,5814345,5932810,6054123,6179460,6309130,6442831,6580312,6721115,6864842,7011453,7160920,7312850,7466793,7622338,7779267,7937458,8096761,8257066,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142
Brazil,BRA,"Population, total",SP.POP.TOTL,72179226,74311343,76514328,78772657,81064571,83373530,85696505,88035814,90387079,92746614,95113265,97482920,99859383,102259497,104706198,107216205,109790938,112425392,115121153,117878411,120694009,123570327,126498314,129448819,132383568,135274080,138108912,140891602,143627503,146328304,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333
Barbados,BRB,"Population, total",SP.POP.TOTL,230980,231718,232633,233630,234586,235413,236088,236659,237241,237955,238896,240094,241515,243069,244644,246154,247583,248937,250203,251351,252394,253298,254082,254788,255497,256263,257107,258019,258977,259957,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,81702,85562,89481,93540,97812,102386,107274,112448,117898,123600,129529,135671,142022,148512,155072,161626,168181,174714,181205,187604,193879,200021,206065,212076,218175,224449,230915,237563,244404,251458,258721,266210,273892,281681,289454,297114,304622,311958,319144,326210,333165,340034,346782,353293,359433,365114,370263,374965,379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962
Bhutan,BTN,"Population, total",SP.POP.TOTL,223288,228851,234554,240523,246964,253994,261668,269947,278734,287891,297316,306955,316828,326982,337485,348396,359725,371428,383326,395195,406875,418111,428934,439822,451476,464266,478692,494312,509540,522179,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394
Botswana,BWA,"Population, total",SP.POP.TOTL,502745,512685,523778,535685,547873,559994,571964,584092,596947,611300,627715,646347,667092,689912,714712,741355,769979,800529,832467,865075,897868,930408,962875,996130,1031439,1069582,1110943,1154906,1200067,1244484,1286756,1326322,1363554,1399110,1434059,1469174,1504730,1540425,1575824,1610264,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1501668,1526066,1551910,1579370,1608616,1639706,1673019,1708302,1744194,1778861,1811144,1840518,1867782,1894853,1924388,1958367,1997014,2039919,2087663,2140777,2199356,2264442,2335333,2408317,2478382,2542169,2597761,2646840,2693973,2745734,2806734,2878509,2959236,3046149,3135015,3222656,3308233,3392436,3475492,3558014,3640427,3722018,3802128,3881181,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377
Canada,CAN,"Population, total",SP.POP.TOTL,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,91401764,92232738,93009498,93840016,94715795,95440988,96146336,97043270,97884022,98606630,99134548,99635258,100357161,101112680,101939916,102860571,103776068,104616884,105329397,105948616,106576687,107191491,107770028,108326149,108853466,109360713,109846594,110296425,110686740,110801640,110743128,110469467,110111454,110041924,110021594,109864246,109626194,109422013,109238340,109060951,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257751,102994343,102738854,102511922
Switzerland,CHE,"Population, total",SP.POP.TOTL,5327827,5434294,5573815,5694247,5789228,5856472,5918002,5991785,6067714,6136387,6180877,6213399,6260956,6307347,6341405,6338632,6302504,6281174,6281738,6294365,6319408,6354074,6391309,6418773,6441865,6470365,6504124,6545106,6593386,6646912,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543
Channel Islands,CHI,"Population, total",SP.POP.TOTL,109420,110399,111457,112595,113773,114995,116227,117474,118726,119972,121197,122413,123614,124725,125682,126415,126902,127183,127390,127692,128212,128982,129979,131149,132446,133808,135249,136762,138245,139573,140671,141467,142006,142415,142863,143484,144335,145373,146498,147555,148443,149097,149596,150068,150716,151678,153008,154636,156433,158178,159734,160998,162056,163038,164100,165385,166923,168665,170499
Chile,CHL,"Population, total",SP.POP.TOTL,8132990,8303811,8476897,8650387,8821858,8989621,9152844,9312095,9468845,9625312,9783134,9942727,10103674,10265829,10428798,10592307,10756878,10922779,11089165,11254877,11419348,11582014,11743911,11907960,12078135,12257236,12445823,12642924,12847708,13058758,13274623,13495258,13719819,13944937,14166340,14380866,14587370,14786220,14977733,15162800,15342353,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160
China,CHN,"Population, total",SP.POP.TOTL,667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,3503553,3631553,3770766,3918628,4071411,4226844,4383728,4544164,4713135,4897472,5102064,5328744,5576038,5841506,6121285,6412403,6713950,7026496,7350270,7685918,8033650,8393691,8764989,9144931,9530107,9918196,10307281,10698194,11094748,11502449,11924877,12362407,12812421,13271643,13735433,14199762,14665127,15130663,15589414,16032573,16454668,16853026,17231539,17599610,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229
Cameroon,CMR,"Population, total",SP.POP.TOTL,5176918,5285017,5398729,5518104,5643036,5773543,5909882,6052420,6201413,6357092,6519762,6689662,6867178,7052849,7247287,7451054,7664406,7887560,8121084,8365567,8621406,8888535,9166816,9456494,9757841,10070806,10395480,10731064,11075422,11425800,11780088,12137912,12499499,12864090,13230984,13599988,13970813,14344449,14723768,15112592,15513945,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,15248251,15637699,16041190,16461830,16903831,17369883,17862049,18378625,18913878,19459816,20011036,20564067,21121363,21690443,22282136,22903581,23560464,24249130,24956385,25663592,26358908,27040322,27717291,28403851,29119673,29881229,30683869,31528708,32443781,33464765,34612023,35908244,37333914,38815834,40252975,41576234,42757243,43827180,44849967,45919613,47105826,48428545,49871666,51425580,53068880,54785903,56578037,58453683,60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,1018253,1043116,1069238,1096638,1125352,1155392,1186785,1219541,1253760,1289522,1326885,1365899,1406522,1448637,1492055,1536654,1582358,1629209,1677332,1726866,1777934,1830632,1884875,1940443,1996995,2054312,2112361,2171321,2231465,2293166,2356737,2422305,2489952,2559873,2632345,2707537,2785810,2867280,2951647,3038433,3127411,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363
Colombia,COL,"Population, total",SP.POP.TOTL,16057724,16567811,17092918,17629979,18175185,18725245,19279740,19837510,20393699,20942456,21480065,22003980,22516425,23024517,23538386,24065507,24608113,25164545,25733673,26312994,26900506,27496617,28101819,28714190,29331238,29951201,30572478,31195413,31822525,32457499,33102575,33758337,34422569,35091275,35758979,36421438,37076387,37723800,38364309,38999471,39629968,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685
Comoros,COM,"Population, total",SP.POP.TOTL,191121,194139,197198,200372,203753,207424,211478,215897,220575,225325,230054,234644,239235,244208,250104,257290,265953,275900,286634,297447,307829,317606,326946,336096,345466,355337,365760,376654,387963,399632,411594,423872,436448,449274,462277,475394,488627,501953,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,201765,205327,210142,216096,222948,230418,238655,247527,256176,263453,268627,271309,271843,271068,270230,270247,271342,273335,276174,279730,283847,288677,294254,300230,306136,311678,316616,321135,325746,331179,337950,346230,355757,366053,376407,386284,395533,404259,412514,420452,428188,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1330782,1381183,1433335,1486553,1539941,1592841,1645083,1696732,1747694,1797893,1847394,1896077,1944169,1992514,2042241,2094188,2148677,2205615,2264946,2326464,2389977,2455588,2523354,2593020,2664223,2736712,2810242,2884851,2960929,3039013,3119433,3202085,3286520,3372298,3458834,3545534,3632362,3718949,3803887,3885430,3962372,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4194710,4274060,4353628,4432217,4508198,4580374,4648367,4712526,4773902,4833842,4893454,4953087,5012612,5071954,5130833,5189153,5246563,5303307,5360561,5419884,5482206,5548512,5617885,5687092,5751543,5808179,5855443,5894827,5930179,5967018,6009251,6058308,6112815,6170351,6227335,6281190,6331280,6378552,6423827,6468476,6513485,6559096,6604965,6650971,6696953,6742717,6788123,6833393,6878978,6925452,6973206,7022387,7072665,7123332,7173435,7222212,7269386,7314990,7358965
Cuba,CUB,"Population, total",SP.POP.TOTL,7141250,7291200,7453540,7623294,7793262,7958169,8115487,8266380,8413552,8561384,8712541,8868083,9025345,9178804,9320945,9446442,9554188,9646142,9724044,9790851,9849459,9898889,9940317,9981304,10031649,10097911,10183899,10286643,10397511,10503972,10596987,10673542,10736387,10789306,10838462,10888252,10939293,10989732,11038692,11084670,11126430,11164667,11199651,11229183,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138
Curacao,CUW,"Population, total",SP.POP.TOTL,124826,126125,128414,130860,133148,135266,136682,138140,140298,142581,144739,147389,147710,146912,148351,149129,149399,149459,148341,147851,148041,148629,150101,151159,151940,152711,152662,151456,149254,146937,145400,144403,143912,144299,144630,145139,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159849
